Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2018,2996,084,0W01,Chicago Transit Authority Infrastructure Improvement,,1700000,,1700000
2018,2996,084,0L72,Chicago Transit Authority Infrastructure Improvement,2000000,,,
2018,2805,084,0W02,Congestion Mitigation Air Quality - Federal,,40000000,,40000000
2018,2805,084,0L73,Congestion Mitigation Air Quality - Federal,40000000,,,
2018,2873,084,0L74,Cook County Highway Program,5000000,,,
2018,2873,084,0W03,Cook County Highway Program,,8000000,,8000000
2018,2995,084,0W04,Cubs Fund for Neighborhood Improvements,,500000,,500000
2018,2700,084,0L64,Enhanced Mobility of Seniors and Individuals with Disabilities,1301000,,,
2018,280D,084,0L93,Federal Railroad Administration,1250000,,,
2018,2869,084,0W05,High Priority / SAFETEA - LU - Federal,,5000000,,5000000
2018,2869,084,0L76,High Priority / SAFETEA - LU - Federal,10000000,,,
2018,2925,084,0W06,Highway Safety Improvement Program,,2000000,,2000000
2018,2925,084,0L77,Highway Safety Improvement Program,2500000,,,
2018,2974,084,0L47,Highway Safety Program Injury Prevention,385000,,,
2018,2923,084,0L79,IDOT Emergency Repair Program,1000000,,,
2018,2922,084,0L81,IDOT Section 408 Traffic Safety,1696000,,,
2018,280E,084,0L98,IDOT Transportation Funds,,60000000,,60000000
2018,2993,084,0L82,Illinois Transportation Enhancement Program,5500000,,,
2018,2993,084,0W11,Illinois Transportation Enhancement Program,,2500000,,2500000
2018,2906,084,0W12,Major Bridge - Federal,,12260000,,12260000
2018,2906,084,0L83,Major Bridge - Federal,10000000,,,
2018,280G,084,0L99,National Priority Safety Program,,385000,,385000
2018,280F,084,0L94,New Freedom,1800000,,,
2018,2901,084,0M07,Outside Funding Contributions,1850000,1000000,,1000000
2018,2921,084,0W13,Safe Routes to School,,1300000,,1300000
2018,2921,084,0L84,Safe Routes to School,1257000,,,
2018,280J,084,0L97,Safety System Innovation,186000,,,
2018,2992,084,0L85,State Only Chicago Commitment,90000000,,,
2018,2981,084,0L86,State Planning and Research,240000,,,
2018,2981,084,0W15,State Planning and Research,,400000,,400000
2018,2820,084,0L48,Surface Transportation Program - Federal - Construction,160000000,,,
2018,2820,084,0W16,Surface Transportation Program - Federal - Construction,,135000000,,135000000
2018,2994,084,0L89,Transportation Alternatives Program,18000000,,,
2018,2994,084,0W18,Transportation Alternatives Program,,23800000,,23800000
2018,2919,084,0L90,Transportation Investments Generating Economic Recovery,18760000,,,
2018,2825,084,0L91,Transportation Planning,1140000,,,
2018,280H,084,0W21,Uniform Work Program,,1200000,,1200000
2018,280H,084,0W21,Total - 084 - Chicago Department of Transportation,388517000,295295000,,295295000
2018,2824,085,0623,Midway - AIP - Noise Program,17860000,10000000,17500000,27500000
2018,2805,085,0623,Midway - Airport Improvement Program,27791000,13700000,27791000,41491000
2018,2807,085,0623,Midway TSA,43181000,537000,42655000,43192000
2018,2810,085,0624,O'Hare - Airport Improvement Program,73242000,78500000,13242000,91742000
2018,2813,085,0624,O'Hare - Airport Improvement Program (AIP) - Noise Program,20000000,15000000,10000000,25000000
2018,2811,085,0624,O'Hare - Transportation Security Administration,52500000,22000000,49500000,71500000
2018,2815,085,0624,O'Hare / Midway - TSA National Explosives Detection Canine Team Program,1263000,1500000,,1500000
2018,2800,085,0624,O'Hare Airport - FAA (MOA) - Phase II,9600000,3000000,9600000,12600000
2018,2816,085,0R11,O'Hare Airport - Public Sector Electric Energy Efficiency Program,2140000,3000000,,3000000
2018,2816,085,0R11,Total - 085 - Chicago Department of Aviation,247577000,147237000,170288000,317525000
2018,2880,088,0J63,Community Development Block Grant - Disaster Recovery,12950000,,12950000,12950000
2018,2880,088,0J63,Total - 088 - Department of Water Management,12950000,,12950000,12950000
2018,2880,088,0J63,Total - Infrastructure Services,649044000,442532000,183238000,625770000
2018,280C,057,0K78,Anti-Terrorism and Emergency Assistance,584000,,330000,330000
2018,2816,057,0657,Asset Forfeiture - Federal,3746000,,,
2018,2816,057,0B17,Asset Forfeiture - Federal,,3246000,,3246000
2018,2817,057,0191,Asset Forfeiture - State,1915000,2530000,,2530000
2018,280H,057,0V10,BJA Body Worn Cameras,1390000,,50000,50000
2018,280H,057,0V58,BJA Body Worn Cameras,,573000,,573000
2018,2808,057,0K57,Bulletproof Vests Partnership - BJA,1000,,1000,1000
2018,2997,057,0V49,COPS Hiring Program,,3125000,,3125000
2018,2983,057,0V00,COPS Hiring Program,1626000,,531000,531000
2018,2983,057,0K62,COPS Hiring Program,2529000,,1400000,1400000
2018,2983,057,0V18,COPS Hiring Program,2529000,,1400000,1400000
2018,2909,057,0K86,Community Policing Development,42000,,18000,18000
2018,2909,057,0V07,Community Policing Development,100000,,95000,95000
2018,2985,057,0P68,Edward Byrne Memorial Justice Assistance Grant (JAG),1695000,,,
2018,2996,057,0V50,Edward Byrne Memorial Justice Assistance Grant (JAG),,3200000,,3200000
2018,2996,057,0V03,Edward Byrne Memorial Justice Assistance Grant (JAG),2334000,,922000,922000
2018,2996,057,0V19,Edward Byrne Memorial Justice Assistance Grant (JAG),3200000,,3200000,3200000
2018,2996,057,0K65,Edward Byrne Memorial Justice Assistance Grant (JAG),2342000,,1631000,1631000
2018,280Q,057,0V75,FIrst Responders Comprehensive Addiction and Recovery,,2000000,,2000000
2018,2999,057,0K76,Get Behind The Vest,200000,1000000,100000,1100000
2018,2968,057,0V51,IDOT Sustained Traffic Enforcement Program (STEP),,370000,,370000
2018,2968,057,0V20,IDOT Sustained Traffic Enforcement Program (STEP),396000,,,
2018,2987,057,0V52,Injury Prevention,,109000,,109000
2018,2935,057,0P19,Justice and Mental Health Collaboration,140000,,60000,60000
2018,2995,057,0V53,Local Alcohol Program,,504000,,504000
2018,2882,057,0V13,National Explosives Detection Canine Team Program,657000,762000,,762000
2018,280D,057,0K79,Optimizing Video Technology in Urban Policing,98000,,8000,8000
2018,280D,057,0V08,Optimizing Video Technology in Urban Policing,542000,,400000,400000
2018,280A,057,0V70,Paul Coverdell Forensic Science Improvement,,248000,,248000
2018,280N,057,0V39,Port Security,159000,,159000,159000
2018,280N,057,0V59,Port Security,,1856000,,1856000
2018,2859,057,0V68,Project Safe Neighborhoods,,500000,,500000
2018,2854,057,0P87,Public Safety Private Support,7000,230000,,230000
2018,2912,057,0P19,Safe Routes to Schools,102000,,,
2018,2982,057,0P39,Smart Policing Innovation,631000,,461000,461000
2018,2811,057,0V69,Technology Opportunities for Public Safety,,500000,,500000
2018,2921,057,0V14,Transit Security,1823000,,300000,300000
2018,2921,057,0V54,Transit Security,,3756000,,3756000
2018,2921,057,0K98,Transit Security,576000,,,
2018,2844,057,0V56,Violence Against Women - Domestic Violence Protection,,100000,,100000
2018,2844,057,0V45,Violence Against Women - Domestic Violence Protection,90000,,,
2018,2842,057,0V57,Violence Against Women - Sexual Assault Program,,60000,,60000
2018,2842,057,0V46,Violence Against Women - Sexual Assault Program,48000,,,
2018,280P,057,0V38,Vision Zero,76000,,,
2018,280P,057,0V55,Vision Zero,,214000,,214000
2018,280P,057,0V55,Total - 057 - Chicago Police Department,29578000,24883000,11066000,35949000
2018,0X69,058,2825,ARRA - 2006 Hazardous Materials Emergency Preparedness Grant,80000,,80000,80000
2018,2826,058,0M02,ComEd - Weather Emergency Grant,47000,,47000,47000
2018,2900,058,0V72,Complex Coordinated Terrorist Attack,,2500000,,2500000
2018,2820,058,0V62,Emergency Management Assistance,,625000,,625000
2018,2820,058,0V25,Emergency Management Assistance,625000,,625000,625000
2018,2898,058,0V09,Emergency Management Private Support,10000,5000,5000,10000
2018,2888,058,0M11,Hazard Mitigation,442000,,,
2018,2835,058,0M02,Nextel Frequency Reconfiguration Project,493000,,493000,493000
2018,2831,058,0V63,Port Security Grant,,1865000,,1865000
2018,2831,058,0V26,Port Security Grant,1865000,,,
2018,2855,058,0783,Traffic Management Authority Control Aides,265000,,,
2018,2855,058,0V42,Traffic Management Authority Control Aides,,265000,,265000
2018,2811,058,0V61,Urban Areas Security Initiative - Phse 3 (ODP),,45000000,,45000000
2018,2811,058,0K94,Urban Areas Security Initiative - Phse 3 (ODP),40978000,,39549000,39549000
2018,2811,058,0K68,Urban Areas Security Initiative - Phse 3 (ODP),35000000,,13278000,13278000
2018,2811,058,0V27,Urban Areas Security Initiative - Phse 3 (ODP),45000000,,45000000,45000000
2018,2893,058,0V31,Video Surveillance Network,1000000,,,
2018,2893,058,0V71,Video Surveillance Network,,1000000,,1000000
2018,2899,058,0V44,Wrigley Field Cameras,1000000,,1000000,1000000
2018,2899,058,0V44,Total - 058 - Office of Emergency Management and Communications,126805000,51260000,100077000,151337000
2018,2812,059,0J18,Assistance to Firefighters,3059000,,,
2018,2812,059,0V66,Assistance to Firefighters,,3500000,,3500000
2018,2812,059,0V29,Assistance to Firefighters,1364000,,,
2018,2810,059,0V30,Fire Academy Training and Improvement,2690000,,,
2018,2810,059,0V37,Fire Academy Training and Improvement,2747000,,2747000,2747000
2018,2810,059,0V67,Fire Academy Training and Improvement,,3000000,,3000000
2018,2815,059,0V73,Fire Prevention and Safety,,500000,,500000
2018,2824,059,0V64,Port Security,,207000,,207000
2018,2824,059,0V36,Port Security,90000,,4000,4000
2018,2823,059,0V35,Securing the City,3500000,,3325000,3325000
2018,2823,059,0V65,Securing the City,,3580000,,3580000
2018,2823,059,0V65,Total - 059 - Chicago Fire Department,13450000,10787000,6076000,16863000
2018,2823,059,0V65,Total - Public Safety,169833000,86930000,117219000,204149000
2018,2979,041,0X97,Adult Viral Hepatitis,102000,103000,,103000
2018,2714,041,0U08,Air Pollution Control Program,,412000,,412000
2018,2714,041,0X12,Air Pollution Control Program,412000,,,
2018,2883,041,0U09,Bioterrorism Hospital Preparedness Program,,2764000,,2764000
2018,2883,041,0X34,Bioterrorism Hospital Preparedness Program,129000,,,
2018,2883,041,0X60,Bioterrorism Hospital Preparedness Program,2764000,,,
2018,2829,041,0X29,Bioterrorism Preparedness Response Planning,1939000,,,
2018,2829,041,0X61,Bioterrorism Preparedness Response Planning,9175681,9615000,4826000,14441000
2018,2983,041,0U11,Breastfeeding Peer Counseling,,40000,,40000
2018,2983,041,0X45,Breastfeeding Peer Counseling,41000,,,
2018,280K,041,0X47,Building & Strengthening Epidemiology & Health IT Capacity - Ebola Supplement,3068000,,1850000,1850000
2018,2710,041,0X10,Building Epidemiology and Health IT Capacity,950000,,950000,950000
2018,2710,041,0X63,Building Epidemiology and Health IT Capacity,1721000,,600000,600000
2018,2710,041,0U12,Building Epidemiology and Health IT Capacity,,1851000,,1851000
2018,2710,041,0H50,Building Epidemiology and Health IT Capacity,218000,,,
2018,280V,041,0X10,Building and Strengthening Epidemiology and Health IT Capacity (ZIKA Preg Reg),70000,,,
2018,280R,041,0U01,C3 Clinical And Translation Research,120000,,120000,120000
2018,2700,041,0X58,Care Van Blue Cross,75000,,,
2018,2700,041,0U13,Care Van Blue Cross,,75000,,75000
2018,2894,041,0X64,Chicago Family Case Management,,571000,,571000
2018,2894,041,0X37,Chicago Family Case Management,571000,,,
2018,280C,041,0X49,Child and Adult Care Food Program,90000,,55000,55000
2018,280C,041,0U39,Child and Adult Care Food Program,,31000,,31000
2018,2804,041,0X65,Childhood Lead Poisoning Prevention,313000,,,
2018,2804,041,0U15,Childhood Lead Poisoning Prevention,,528000,,528000
2018,280E,041,0U05,Data Across Sectors (DASH),50000,,,
2018,2713,041,0X66,Dating Matters,37000,,11000,11000
2018,2713,041,0U46,Dating Matters,,17000,,17000
2018,2871,041,0X67,Dental Sealant,60000,,105000,105000
2018,2871,041,0U16,Dental Sealant,,60000,,60000
2018,2871,041,0X32,Dental Sealant,40000,,,
2018,2729,041,0X18,Genetics Education / Follow Up Services,117000,,,
2018,2729,041,0U17,Genetics Education / Follow Up Services,,117000,,117000
2018,2812,041,0X72,HIV / AIDS Prevention,,896000,,896000
2018,2812,041,0X24,HIV / AIDS Prevention,16882000,,,
2018,2733,041,0X28,HIV / AIDS Surveillance,493000,,,
2018,2733,041,0X73,HIV / AIDS Surveillance,1400000,,,
2018,2978,041,0X42,HIV Behavioral Surveillance,441000,505000,178000,683000
2018,280Y,041,0U40,HIV Surveillance and Prevention,,8722000,,8722000
2018,2961,041,0X55,HOPWA Housing and Health Study Program,1488000,,483000,483000
2018,280N,041,0X95,HPV Vaccine Coverage,500000,,500000,500000
2018,280M,041,0X96,Healthy Chicago 2.0,22000,43000,,43000
2018,2849,041,0X30,Healthy Families Illinois,241000,,,
2018,2849,041,0X70,Healthy Families Illinois,,241000,,241000
2018,280F,041,0H89,Hospital Preparedness Program Ebola Preparedness and Response,3461000,,2474000,2474000
2018,2932,041,0U22,Housing Opportunities for People with AIDS (HOPWA),,8000000,,8000000
2018,2932,041,0X74,Housing Opportunities for People with AIDS (HOPWA),7954000,,,
2018,280A,041,0H88,Immunization Billing Services,391000,,276000,276000
2018,2820,041,0X26,Immunizations and Vaccines for Children,1096000,,768000,768000
2018,2820,041,0X75,Immunizations and Vaccines for Children,5469000,,,
2018,2820,041,0U23,Immunizations and Vaccines for Children,,5300000,,5300000
2018,2884,041,0X76,Lead Based Paint Hazard Control (Torrens Fund),,250000,,250000
2018,2884,041,0X35,Lead Based Paint Hazard Control (Torrens Fund),250000,,,
2018,2944,041,0U44,Lead Hazard Reduction Demonstration Program,,3900000,,3900000
2018,280L,041,0X57,Lead Poisoning Surveillance,348000,,65000,65000
2018,280L,041,0U07,Lead Poisoning Surveillance,,445000,,445000
2018,2730,041,0X77,Local Health Protection,2541000,,,
2018,2730,041,0U25,Local Health Protection,,2753000,,2753000
2018,2910,041,0U26,Maternal and Child Health Block Grant,,4510000,,4510000
2018,2910,041,0X38,Maternal and Child Health Block Grant,4510000,,,
2018,2887,041,0X79,Morbidity and Risk Behavior Surveillance,550000,,156000,156000
2018,2887,041,0U27,Morbidity and Risk Behavior Surveillance,,534000,,534000
2018,2887,041,0X36,Morbidity and Risk Behavior Surveillance,175000,,,
2018,2960,041,0X80,Mosquito Vector Prevention Program (Tire Funds),380000,,,
2018,2960,041,0U28,Mosquito Vector Prevention Program (Tire Funds),,530000,,530000
2018,280U,041,0U06,Opiod Use,375000,,,
2018,2737,041,0X52,Reduce HIV and Improve Care for MSM and Transgender People,5899000,2545000,3010000,5555000
2018,280P,041,0X99,Resiliency in Communities After Stress and Trauma,1000000,1000000,,1000000
2018,2721,041,0U21,Resource Conservation,,150000,,150000
2018,2721,041,0H26,Resource Conservation,353000,,300000,300000
2018,2721,041,0X15,Resource Conservation,150000,,150000,150000
2018,2731,041,0X81,Ryan White HIV Care Act Part A - Emergency Relief,27451000,,1500000,1500000
2018,2731,041,0U29,Ryan White HIV Care Act Part A - Emergency Relief,,28515000,,28515000
2018,2814,041,0X82,Sexually Transmitted Disease Prevention,2161000,,,
2018,2814,041,0U30,Sexually Transmitted Disease Prevention,,2079000,,2079000
2018,2722,041,0X83,Solid Waste Management,143000,,,
2018,2722,041,0U31,Solid Waste Management,,143000,,143000
2018,2984,041,0H12,Summer Food Program,225000,,80000,80000
2018,2984,041,0X84,Summer Food Program,,75000,,75000
2018,2878,041,0U33,Tanning Facilities Inspections,,13000,,13000
2018,2878,041,0X33,Tanning Facilities Inspections,13000,,5000,5000
2018,2998,041,0X44,Tattoo and Body Art Piercing Inspection,61000,,50000,50000
2018,2998,041,0U34,Tattoo and Body Art Piercing Inspection,,61000,,61000
2018,280G,041,0X56,Teen Pregnancy Prevention Evaluation,1244000,,60000,60000
2018,280G,041,0X92,Teen Pregnancy Prevention Evaluation,,500000,,500000
2018,2868,041,0U35,Tobacco Free Communities,,1025000,,1025000
2018,2868,041,0X87,Tobacco Free Communities,1025000,,,
2018,2824,041,0U36,Tuberculosis Control,,995000,,995000
2018,2824,041,0X27,Tuberculosis Control,988000,,150000,150000
2018,2720,041,0U37,Underground Storage Tank Inspection,,550000,,550000
2018,2720,041,0X14,Underground Storage Tank Inspection,550000,,,
2018,2808,041,0X90,"Women, Infants and Children Nutrition",4600000,,,
2018,2808,041,0U38,"Women, Infants and Children Nutrition",,4610000,,4610000
2018,280Q,041,0X98,ZIKA Surveillance,300000,,220000,220000
2018,280W,041,0U45,Zero Suicide,,400000,,400000
2018,280W,041,0J44,Community Development Block Grant,11731412,11575619,,11575619
2018,280W,041,0J44,Total - 041 - Department of Public Health,128924093,107049619,18942000,125991619
2018,280W,045,0J44,Community Development Block Grant,1268746,1207130,,1207130
2018,280W,045,0J44,Total - 045 - Commission on Human Relations,1268746,1207130,,1207130
2018,2802,048,0819,Access Chicago Support,51000,45000,51000,96000
2018,2800,048,0833,Amplified Phones Program (ITAC/TTY),92000,21000,84000,105000
2018,2818,048,0J87,CHA Home Modification Program,183000,,92000,92000
2018,2817,048,0833,Disabled Youth Employment Program,4000,4000,,4000
2018,2807,048,0819,Home Modification Program - Chicago Fund Support,140000,,10000,10000
